seq	class	var	position	vallabel	value	gatevar	n_asked	n_answered	n_nonresp	n_sysmiss	pct_answered	rate	status	gate	gated_by	pooled	type	severity	flags	w_asked	w_answered	pct_answered_w
1	survey	.	4	.	.	.	1200	.	.	.	.	.	.	.	.	.	.	note	paths: top=3; each column partitions the scope into named answers, other answers, no answer; denominator = respondents in scope; 52 distinct full sequences; 3 interviews on unique routes	.	.	.
2	item	q1_consent	1	Consented to be interviewed	.	.	1200	1200	0	0	100.0	.	open	0	.	.	.	note	.	.	.	.
3	item	q3_party	2	Party identification	.	.	1200	1074	126	0	89.5	.	open	0	.	.	.	note	.	.	.	.
4	item	q5_voted	3	Voted in the 2024 general election	.	.	1200	1133	67	0	94.4	.	open	0	.	.	.	note	.	.	.	.
5	item	q8_approve	4	Approval of the governor	.	.	1200	1053	147	0	87.8	.	open	0	.	.	.	note	.	.	.	.
6	pnode	q1_consent	1	Yes	1	q1_consent	1161	.	.	.	96.8	.	.	1	.	.	.	note	.	.	.	.
7	pnode	q1_consent	1	No	0	q1_consent	39	.	.	.	3.2	.	.	2	.	.	.	note	.	.	.	.
8	pnode	q3_party	2	Democrat	1	q3_party	384	.	.	.	32.0	.	.	1	.	.	.	note	.	.	.	.
9	pnode	q3_party	2	Republican	2	q3_party	352	.	.	.	29.3	.	.	2	.	.	.	note	.	.	.	.
10	pnode	q3_party	2	Independent	3	q3_party	229	.	.	.	19.1	.	.	3	.	.	.	note	.	.	.	.
11	pnode	q3_party	2	other answers	~o	q3_party	109	.	.	.	9.1	.	.	4	.	1	.	note	.	.	.	.
12	pnode	q3_party	2	no answer recorded	~m	q3_party	126	.	.	.	10.5	.	.	5	.	.	.	note	.	.	.	.
13	pnode	q5_voted	3	Yes	1	q5_voted	600	.	.	.	50.0	.	.	1	.	.	.	note	.	.	.	.
14	pnode	q5_voted	3	No	0	q5_voted	533	.	.	.	44.4	.	.	2	.	.	.	note	.	.	.	.
15	pnode	q5_voted	3	no answer recorded	~m	q5_voted	67	.	.	.	5.6	.	.	5	.	.	.	note	.	.	.	.
16	pnode	q8_approve	4	Strongly disapprove	4	q8_approve	276	.	.	.	23.0	.	.	1	.	.	.	note	.	.	.	.
17	pnode	q8_approve	4	Somewhat disapprove	3	q8_approve	275	.	.	.	22.9	.	.	2	.	.	.	note	.	.	.	.
18	pnode	q8_approve	4	Somewhat approve	2	q8_approve	263	.	.	.	21.9	.	.	3	.	.	.	note	.	.	.	.
