seq	class	var	position	vallabel	value	gatevar	n_asked	n_answered	n_nonresp	n_sysmiss	pct_answered	rate	status	gate	gated_by	pooled	type	severity	flags	w_asked	w_answered	pct_answered_w
1	survey	.	5	.	.	.	853	.	.	.	.	.	.	.	.	.	.	note	prune=5 minn=30 maxcats=6 dlow=2 dhigh=50 nonresp=none; scope: if q2_age > 40; responses=3 (top answers per item, shares of those shown); balance ok: answered + declined + not shown = 853 at every item	.	.	.
2	item	q1_consent	1	Consented to be interviewed	.	.	853	853	0	0	100.0	.	open	0	.	.	byte	note	.	.	.	.
3	item	q3_party	2	Party identification	.	.	853	753	61	39	88.3	.	open	0	.	.	byte	note	.	.	.	.
4	item	q5_voted	3	Voted in the 2024 general election	.	.	853	800	14	39	93.8	.	open	0	.	.	byte	note	.	.	.	.
5	item	q8_approve	4	Approval of the governor	.	.	853	738	76	39	86.5	.	open	0	.	.	byte	note	.	.	.	.
6	item	q13_income	5	Total household income last year	.	.	853	664	150	39	77.8	.	open	0	.	.	byte	note	.	.	.	.
7	resp	q1_consent	1	No	0	q1_consent	39	.	.	.	4.6	.	.	.	.	.	.	note	.	.	.	.
8	resp	q1_consent	1	Yes	1	q1_consent	814	.	.	.	95.4	.	.	.	.	.	.	note	.	.	.	.
9	resp	q3_party	2	Democrat	1	q3_party	264	.	.	.	32.4	.	.	.	.	.	.	note	.	.	.	.
10	resp	q3_party	2	Republican	2	q3_party	247	.	.	.	30.3	.	.	.	.	.	.	note	.	.	.	.
11	resp	q3_party	2	Independent	3	q3_party	158	.	.	.	19.4	.	.	.	.	.	.	note	.	.	.	.
12	resp	q3_party	2	Something else	4	q3_party	84	.	.	.	10.3	.	.	.	.	1	.	note	.	.	.	.
13	resp	q5_voted	3	No	0	q5_voted	376	.	.	.	46.2	.	.	.	.	.	.	note	.	.	.	.
14	resp	q5_voted	3	Yes	1	q5_voted	424	.	.	.	52.1	.	.	.	.	.	.	note	.	.	.	.
15	resp	q8_approve	4	Strongly approve	1	q8_approve	167	.	.	.	20.5	.	.	.	.	1	.	note	.	.	.	.
16	resp	q8_approve	4	Somewhat approve	2	q8_approve	188	.	.	.	23.1	.	.	.	.	.	.	note	.	.	.	.
17	resp	q8_approve	4	Somewhat disapprove	3	q8_approve	195	.	.	.	24.0	.	.	.	.	.	.	note	.	.	.	.
18	resp	q8_approve	4	Strongly disapprove	4	q8_approve	188	.	.	.	23.1	.	.	.	.	.	.	note	.	.	.	.
19	resp	q13_income	5	Under $15,000	1	q13_income	70	.	.	.	8.6	.	.	.	.	1	.	note	.	.	.	.
20	resp	q13_income	5	$15,000 to $24,999	2	q13_income	71	.	.	.	8.7	.	.	.	.	1	.	note	.	.	.	.
21	resp	q13_income	5	$25,000 to $34,999	3	q13_income	73	.	.	.	9.0	.	.	.	.	1	.	note	.	.	.	.
22	resp	q13_income	5	$35,000 to $49,999	4	q13_income	80	.	.	.	9.8	.	.	.	.	.	.	note	.	.	.	.
23	resp	q13_income	5	$50,000 to $74,999	5	q13_income	84	.	.	.	10.3	.	.	.	.	.	.	note	.	.	.	.
24	resp	q13_income	5	$75,000 to $99,999	6	q13_income	83	.	.	.	10.2	.	.	.	.	.	.	note	.	.	.	.
25	resp	q13_income	5	$100,000 to $149,999	7	q13_income	65	.	.	.	8.0	.	.	.	.	1	.	note	.	.	.	.
26	resp	q13_income	5	$150,000 to $199,999	8	q13_income	67	.	.	.	8.2	.	.	.	.	1	.	note	.	.	.	.
27	resp	q13_income	5	$200,000 or more	9	q13_income	71	.	.	.	8.7	.	.	.	.	1	.	note	.	.	.	.
