seq	class	var	position	vallabel	value	gatevar	n_asked	n_answered	n_nonresp	n_sysmiss	pct_answered	rate	status	gate	gated_by	pooled	type	severity	flags
1	survey	.	16	.	.	.	1200	.	.	.	.	.	.	.	.	.	.	note	prune=5 minn=30 maxcats=6 dlow=2 dhigh=50 nonresp=none
2	item	resp_id	1	Respondent id	.	.	1200	1200	0	0	100.0	.	open	0	.	.	int	note	.
3	item	st	2	State of residence	.	.	1200	1200	0	0	100.0	.	open	0	.	.	str2	note	.
4	item	q1_consent	3	Consented to be interviewed	.	.	1200	1200	0	0	100.0	.	open	0	.	.	byte	note	.
5	item	q2_age	4	Age in years	.	.	1200	1144	17	39	95.3	.	gated	0	q1_consent==0	.	byte	note	.
6	item	q3_party	5	Party identification	.	.	1200	1074	87	39	89.5	.	gated	1	q1_consent==0	.	byte	note	.
7	item	q4_reg	6	Registered to vote at this address	.	.	1200	1161	0	39	96.8	.	gated	0	q1_consent==0	.	byte	note	.
8	item	q5_voted	7	Voted in the 2024 general election	.	.	1200	1133	28	39	94.4	.	gated	1	q1_consent==0	.	byte	note	.
9	item	q6_whovote	8	Vote choice for president in 2024	.	.	1200	578	22	600	48.2	.	gated	0	q4_reg==0; q5_voted==0	.	byte	note	.
10	item	q7_whynot	9	Main reason for not voting	.	.	1200	507	26	667	42.2	.	gated	0	q5_voted==1	.	byte	note	.
11	item	q8_approve	10	Approval of the governor	.	.	1200	1053	108	39	87.8	.	gated	0	q1_consent==0	.	byte	note	.
12	item	q9_econ	11	Rating of economic conditions today	.	.	1200	1088	73	39	90.7	.	gated	0	q1_consent==0	.	byte	note	.
13	item	q10_dem_prim	12	Plans to vote in the Democratic primary	.	.	1200	591	22	587	49.2	.	gated	0	q1_consent==0; q3_party==2 4	.	byte	note	.
14	item	q11_rep_prim	13	Plans to vote in the Republican primary	.	.	1200	566	15	619	47.2	.	gated	0	q3_party==1 4	.	byte	note	.
15	item	q12_ideol	14	Ideological self-placement	.	.	1200	1081	80	39	90.1	.	gated	0	q1_consent==0	.	byte	note	.
16	item	q13_income	15	Total household income last year	.	.	1200	941	220	39	78.4	.	gated	0	q1_consent==0	.	byte	note	.
17	item	q14_zip	16	ZIP code of residence	.	.	1200	1048	0	152	87.3	.	gated	0	q1_consent==0	.	str5	note	.
18	cat	q3_party	5	Democrat	1	q3_party	384	.	.	.	32.0	.	.	.	.	.	.	note	.
19	cat	q3_party	5	Republican	2	q3_party	352	.	.	.	29.3	.	.	.	.	.	.	note	.
20	cat	q3_party	5	Independent	3	q3_party	229	.	.	.	19.1	.	.	.	.	.	.	note	.
21	cat	q3_party	5	Something else	4	q3_party	109	.	.	.	9.1	.	.	.	.	1	.	note	.
22	cat	q3_party	5	no answer	noanswer	q3_party	126	.	.	.	10.5	.	.	.	.	.	.	note	.
23	cell	q10_dem_prim	12	.	1	q3_party	384	375	9	0	.	97.7	answered	.	.	.	.	note	.
24	cell	q10_dem_prim	12	.	2	q3_party	352	0	0	352	.	0.0	skipped	.	.	.	.	note	.
25	cell	q10_dem_prim	12	.	3	q3_party	229	216	13	0	.	94.3	answered	.	.	.	.	note	.
26	cell	q10_dem_prim	12	.	4	q3_party	109	0	0	109	.	0.0	skipped	.	.	.	.	note	.
27	cell	q10_dem_prim	12	.	noanswer	q3_party	126	0	0	126	.	0.0	skipped	.	.	.	.	note	.
28	cell	q11_rep_prim	13	.	1	q3_party	384	0	0	384	.	0.0	skipped	.	.	.	.	note	.
29	cell	q11_rep_prim	13	.	2	q3_party	352	342	10	0	.	97.2	answered	.	.	.	.	note	.
30	cell	q11_rep_prim	13	.	3	q3_party	229	224	5	0	.	97.8	answered	.	.	.	.	note	.
31	cell	q11_rep_prim	13	.	4	q3_party	109	0	0	109	.	0.0	skipped	.	.	.	.	note	.
32	cell	q11_rep_prim	13	.	noanswer	q3_party	126	0	0	126	.	0.0	skipped	.	.	.	.	note	.
33	cat	q5_voted	7	No	0	q5_voted	533	.	.	.	44.4	.	.	.	.	.	.	note	.
34	cat	q5_voted	7	Yes	1	q5_voted	600	.	.	.	50.0	.	.	.	.	.	.	note	.
35	cat	q5_voted	7	no answer	noanswer	q5_voted	67	.	.	.	5.6	.	.	.	.	.	.	note	.
36	cell	q6_whovote	8	.	0	q5_voted	533	0	0	533	.	0.0	skipped	.	.	.	.	note	.
37	cell	q6_whovote	8	.	1	q5_voted	600	578	22	0	.	96.3	answered	.	.	.	.	note	.
38	cell	q6_whovote	8	.	noanswer	q5_voted	67	0	0	67	.	0.0	skipped	.	.	.	.	note	.
39	cell	q7_whynot	9	.	0	q5_voted	533	507	26	0	.	95.1	answered	.	.	.	.	note	.
40	cell	q7_whynot	9	.	1	q5_voted	600	0	0	600	.	0.0	skipped	.	.	.	.	note	.
41	cell	q7_whynot	9	.	noanswer	q5_voted	67	0	0	67	.	0.0	skipped	.	.	.	.	note	.
